Target	Source
ABL2	ABL1
ADCY2	ADCY1
ADCY5	ADCY2
AKR7A3	AKR7A2
AKT1S1	AKT1
ALPPL2	ALPP
AP1G1	AP1B1
AP1S1	AP1G1
AP2A1	ABL1
AP2A1	AP1B1
AP2B1	ABL1
APBB1	ABL1
ARF5	AP1B1
ARHGAP17	ABL1
ARHGEF11	ABCA1
ARHGEF12	ABCA1
ARID4B	ARID4A
ARNT2	ARNT
ARNT	AHRR
ASAP2	ARF5
ATF3	ATF2
ATF7	ATF2
ATF7IP	AP1B1
ATN1	AES
ATN1	AGRN
ATP5B	ATP5A1
ATR	ABL1
ATRX	ATN1
ATXN7L3	ATXN7
BAIAP2	ATN1
BAP1	ANKRD17
BAP1	ASXL1
BAP1	ASXL2
BAZ1B	BAZ1A
BAZ2A	BAZ1B
BCR	ABL1
BCR	ABL2
BEGAIN	BAHD1
BIN1	ABL1
BIN1	AMPH
BIN1	AP2A1
BIN1	ASAP2
BMPR1B	BMPR1A
BTBD10	ACIN1
BTG3	BANP
CABIN1	AMPH
CABLES1	ABL1
CAMK2A	ACTN1
CAMK2A	ACTN2
CAMK2A	ACTN4
CAMK2A	ATP2A2
CAMK2B	ACTN4
CAMK2B	CAMK2A
CAMK2D	ACTN2
CAMK2D	CAMK2A
CAMK2D	CAMK2B
CAMK2G	ACTN2
CAMK2G	ACTN4
CAMK2G	ADCY3
CAMK4	CABIN1
CAPN2	ADRBK1
CAPZB	CAPZA2
CATSPER2	CACNA1I
CBL	ABL1
CBL	ASAP1
CBLB	ABL1
CBL	BCR
CBX8	CBX4
CBX8	CBX7
CCDC88A	AKT1
CCNT1	AFF4
CCNT1	BRD4
CCNT2	BRD4
CD44	ANK1
CD44	ARHGEF1
CD44	ARHGEF12
CDC20	CDC16
CDC25B	BRSK1
CDC25B	BRSK2
CDC42	ABCA1
CDC42	ARHGAP17
CDC42	ARHGEF11
CDC42	BAIAP2
CDC42	BCR
CDC42BPA	CDC42
CDC42BPG	CDC42
CDC42	CBL
CDT1	CDC20
CDT1	CDC5L
CFHR1	CFH
CHAF1B	CHAF1A
CHD3	BHLHE40
CHD4	ATR
CHD4	CHD3
CHD8	ASH2L
CHERP	CCAR1
CHMP4A	CDK13
CLINT1	AP1B1
CLINT1	AP1G1
CLINT1	AP2A1
CLINT1	AP2B1
CLIP1	CDC42
CLIP2	CLASP1
CLK2	ATR
CLK3	C1orf63
CLK3	CLK2
CNOT3	CAND1
CNOT3	CAND2
CNOT3	CNOT1
CNOT4	CNOT1
COL1A2	CD44
COL5A3	COL1A2
COL5A3	COL5A1
COPB1	ADAM19
COPB1	COPA
COPB2	COPA
COPB2	COPB1
COPS4	COPS2
CPNE4	CCDC22
CREB1	ABL1
CREB1	AKT1
CREB1	CAMK2A
CREB1	CCDC6
CREB1	CHD3
CREBBP	ABCA1
CREBBP	AKT1
CREBBP	AP1B1
CREBBP	ATF2
CREBBP	ATF3
CREBBP	BCL3
CREBBP	CAMK4
CREBBP	CARM1
CREBBP	CDC20
CREBBP	CDC25B
CREBBP	CNOT3
CREBBP	CREB1
CSF1R	CBL
CSNK2A1	ABCA1
CSNK2A1	ACACA
CSNK2A1	ARNT
CSNK2A1	ATF2
CSNK2A1	BRF1
CSNK2A1	CDC25B
CSNK2A1	CHD3
CSNK2A1	COPS2
CSNK2A1	CREBBP
CSTF2	CHD3
CSTF2	CPSF1
CSTF2	CPSF3
CTBP1	BCL3
CTBP1	CBX4
CTBP1	CREBBP
CTBP2	BAZ2B
CTBP2	CBX4
CTBP2	CTBP1
CTCF	CHD8
CTDP1	CSNK2A1
CTNNA1	ACTN1
CTNNB1	ABL1
CTNNB1	ASH2L
CTNNB1	BCL3
CTNNB1	CDH11
