ACTG1	ABLIM1
AKR1C3	ACIN1
AP3B2	ADAP1
ATN1	AES
ATN1	ARF3
ATRX	ATN1
BRCA1	ACACA
BRCA1	BAP1
CARD11	BCL10
CDC34	BTRC
CDK5R1	CAPN2
CDK5RAP3	CDK5R1
CDKN1B	CDC34
CENPA	AURKB
CENPH	CENPA
CHD4	CHD3
CHD8	ASH2L
CHMP4A	CC2D1A
CREB1	BRCA1
CREB1	CCDC6
CREB1	CHD3
CREBBP	ANAPC5
CREBBP	ATXN3
CREBBP	BRCA1
CREBBP	CARM1
CREBBP	CDK5RAP3
CREBBP	CREB1
CREM	CDC34
CREM	CREB1
CREM	CREBBP
CRK	BCAR1
CSNK1E	AXIN2
CTBP1	BRCA1
CTBP1	CREBBP
CTBP2	CTBP1
CTNND1	CTNNA1
DCLRE1C	BRCA1
DDB1	DCAF11
DDB1	DCAF5
DDX5	CREBBP
DHX58	DHX30
DVL3	CSNK1E
E2F4	BRCA1
EDNRA	EDN3
EHMT1	CTBP1
EIF4G1	EIF4A1
EIF4G1	EIF4A2
EIF4G3	EIF4A1
ENO2	C16orf45
EP300	ANAPC5
EP300	BRCA1
EP300	CARM1
EP300	CHD4
EP300	CREB1
EP300	CREBBP
EP300	CTBP1
EP300	CTBP2
EP300	EEF2
EPAS1	EP300
ESR1	ASH2L
ESR1	ATAD2
ESR1	BCAR1
ESR1	BDNF
ESR1	BRCA1
ESR1	CREBBP
ESR1	DDX5
ESR1	EP300
ETV1	EP300
FAF2	DERL2
FAM134A	CHD3
FBLN1	ATN1
FBXL5	DCTN1
FGFR3	FGF18
FLT3	FIZ1
FOSB	CREBBP
FOXO1	CREBBP
FOXO1	ESR1
FOXO3	CREBBP
FOXO3	EP300
FOXO3	ESR1
FURIN	AP2M1
GABPA	CREBBP
GABPA	EP300
GADD45G	ESR1
GATA2	CREBBP
GATAD2A	CHD4
GGA1	ARF3
GNAS	ADCY5
GNB1	CACNA1A
GNB1	CACNA1C
GPS2	CHD3
GPS2	EP300
GRB2	ARHGEF7
GRB2	BCAR1
GRB2	CD28
GRB2	CDKN1B
GRB2	CRK
GRB2	DAG1
GRB2	DCTN1
GRB2	DOK3
GRB2	ESR1
GRB2	FGFR3
GRB2	FLT3
GRIN1	ARHGEF7
GRIN1	FUS
GRIN1	GRB2
GTF2F1	BRCA1
H2AFY	BRCA1
H3F3B	ASF1B
H3F3B	ATRX
H3F3B	BPTF
H3F3B	CARM1
H3F3B	CREBBP
HGS	EXOC7
HGS	GGA1
HGS	GRB2
HIC1	CTBP1
HIC1	CTBP2
HIST1H2AB	EP300
HIST1H3C	ASF1B
HIST1H3C	CENPA
HIST1H4F	ASF1B
HIST1H4F	CENPA
HMGA1	CREBBP
HNRNPK	CARM1
HNRNPK	CIRBP
HNRNPK	DDX5
HOXB1	CREBBP
HOXB1	EP300
HSP90AA1	CRNKL1
HSP90AA1	ESR1
IFITM1	CD81
IGFALS	IGF1
IKZF1	AP2M1
IKZF1	CHD3
IKZF1	CHD4
IKZF1	CTBP1
IRAK1	BCL10
IRAK1	HSP90AA1
IRF9	CREBBP
IRS1	CRK
IRS1	ESR1
IRS1	GRB10
IRS1	GRB2
ITGB3BP	ESR1
IVNS1ABP	CHD3
JAK2	BRCA1
JAK2	CDKN1B
JAK2	GRB10
JAK2	GRB2
JAK2	IFNGR2
JAK2	IRS1
KAT5	BRD8
KAT5	CBX8
KAT5	CCDC106
KAT5	CREB1
KAT5	CREBBP
KAT5	DNMT1
KAT5	EDNRA
KAT5	EP300
KAT5	ESR1
KAT5	ETV6
KAT5	FAM135B
KAT5	GADD45G
KAT5	H3F3B
KCNC2	KCNC1
KCNMA1	CACNA1H
KCNQ2	KCNQ1
KDM6A	ASH2L
KEL	EDN3
KLF4	CREBBP
KLF4	EP300
KLF4	KAT5
KLHL13	AURKB
KLHL22	KLHL13
KLHL26	ACIN1
LEO1	CTR9
LZTR1	BMPR1B
MAGI2	ATN1
MAGI2	DSCAML1
MAP3K12	MAP2K7
MAP3K8	CD40
MAPK10	HNRNPK
MAPK14	CREB1
MAPK14	DYRK1B
